Date : 2026-01-03 02:25:36
Directory : d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src
Total : 217 files,  20756 codes, 2591 comments, 4815 blanks, all 28162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\TeamsModule.luau                                    | Luau     |        127 |         19 |         26 |        172 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Movement\AirMomentum.server.luau                             | Luau     |         70 |         14 |         18 |        102 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Movement\CustomAirMovement.server.luau                       | Luau     |        131 |          8 |         26 |        165 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Movement\CustomMovement.server.luau                          | Luau     |         98 |         11 |         18 |        127 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Movement\Slide.server.luau                                   | Luau     |         43 |          1 |          9 |         53 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Movement\Stamina.server.luau                                 | Luau     |        476 |         44 |         98 |        618 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\PilotMode.server.luau                                        | Luau     |         20 |          1 |          6 |         27 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\PilotModule.luau                                             | Luau     |        205 |         28 |         49 |        282 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Punch.server.luau                                            | Luau     |         44 |          2 |         13 |         59 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\RaceScripts\Vampire.luau                                     | Luau     |         86 |          7 |         19 |        112 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\RaycastModule.luau                                           | Luau     |        131 |         17 |         27 |        175 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\AbilityRegistry.luau                  | Luau     |         79 |         16 |          9 |        104 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\BubbleCutter.server.luau              | Luau     |         49 |          2 |         16 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\ChargeHamon.server.luau               | Luau     |         74 |          9 |         17 |        100 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\Hamon.luau                            | Luau     |        370 |         23 |         67 |        460 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\LifeForceAura.server.luau             | Luau     |         49 |          2 |         16 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\SunlightYellow.server.luau            | Luau     |         77 |          7 |         20 |        104 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Hamon\ZoomPunch.server.luau                 | Luau     |         49 |          2 |         16 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Handlers\AbilityFunctionHandler.server.luau | Luau     |         16 |          2 |          7 |         25 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Handlers\AbilityHandler.luau                | Luau     |        167 |         43 |         41 |        251 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\AbilityRegistry.luau              | Luau     |         53 |         16 |          8 |         77 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\BloodRush.server.luau             | Luau     |         49 |          2 |         16 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\DivineDrink.server.luau           | Luau     |         43 |          2 |         15 |         60 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\SpaceRipperStingyEyes.server.luau | Luau     |         49 |          2 |         16 |         67 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\Vampirism.luau                    | Luau     |        216 |          9 |         35 |        260 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\SpecailtyScripts\Vampirism\VaporizationFreeze.server.luau    | Luau     |         43 |          2 |         15 |         60 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\CrazedDiamond\AbilityRegistry.luau              | Luau     |         44 |         16 |          8 |         68 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\CrazedDiamond\TheWorld.luau                     | Luau     |        339 |         16 |         70 |        425 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\GoldExperiment\AbilityRegistry.luau             | Luau     |         84 |         33 |         21 |        138 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\GoldExperiment\EagleStrike.server.luau          | Luau     |         66 |          7 |         18 |         91 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\GoldExperiment\GoldExperiment.luau              | Luau     |        403 |         25 |         88 |        516 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\GoldExperiment\LifeOverflow.server.luau         | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\GoldExperiment\TreeOfLife.server.luau           | Luau     |         48 |          2 |         16 |         66 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\Handlers\AbilityFunctionHandler.server.luau     | Luau     |         17 |          2 |          7 |         26 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\Handlers\AbilityHandler.luau                    | Luau     |        161 |         43 |         40 |        244 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\AbilityRegistry.luau            | Luau     |         54 |         16 |          8 |         78 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\EmeraldBarrier.server.luau      | Luau     |         48 |          2 |         15 |         65 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\EmeraldSplash.server.luau       | Luau     |         80 |         10 |         20 |        110 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\HierophantGrand.luau            | Luau     |        323 |         16 |         63 |        402 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\StandModules\HierophantGrand\PuppetMaster.server.luau        | Luau     |         48 |          2 |         15 |         65 |
